filename,tier,subject,source,rights_reference,status
home-hero-poster.jpg,1,"Homepage hero poster (frame from sawla-hero.mp4)",films,,needed
home-cta-background.jpg,1,"Homepage final CTA backdrop",,,needed
home-style-historic-cultural-ethiopia-tours.jpg,1,"Homepage style tile: Heritage Pilgrimage",,,needed
home-style-omo-valley-cultural-tours.jpg,1,"Homepage style tile: Tribal Encounters",,,needed
home-style-ethiopia-wildlife-tours.jpg,1,"Homepage style tile: Wildlife & Birding",,,needed
home-style-ethiopia-adventure-tours.jpg,1,"Homepage style tile: Frontier Adventure",,,needed
home-style-ethiopia-festival-tours.jpg,1,"Homepage style tile: Festival Immersion",,,needed
home-style-ethiopia-photography-tours.jpg,1,"Homepage style tile: Photography Journeys",,,needed
home-style-ethiopia-special-interest-tours.jpg,1,"Homepage style tile: Coffee, Culinary & Special-Interest Journeys",,,needed
dest-lalibela-hero.jpg,2,"Lalibela hero",,,needed
dest-simien-mountain-national-park-hero.jpg,2,"Simien Mountains National Park hero",,,needed
dest-danakil-depression-tour-packages-hero.jpg,2,"Danakil Depression hero",,,needed
dest-omo-valley-tribes-hero.jpg,2,"Lower Omo Valley hero",,,needed
dest-bale-mountains-national-park-hero.jpg,2,"Bale Mountains National Park hero",,,needed
dest-tigray-rock-hewn-churches-historical-sites-hero.jpg,2,"Tigray & Gheralta hero",,,needed
dest-gondar-hero.jpg,2,"Gondar hero",,,needed
dest-bahir-dar-lake-tana-hero.jpg,2,"Bahir Dar & Lake Tana hero",,,needed
dest-harar-hero.jpg,2,"Harar Jugol hero",,,needed
dest-addis-ababa-hero.jpg,2,"Addis Ababa hero",,,needed
dest-axum-hero.jpg,2,"Aksum hero",,,needed
dest-kafa-biosphere-coffee-forest-hero.jpg,2,"Kafa Biosphere Reserve hero",,,needed
dest-arba-minch-nechsar-hero.jpg,2,"Arba Minch & Nech Sar National Park hero",,,needed
dest-konso-hero.jpg,2,"Konso Cultural Landscape hero",,,needed
dest-awash-national-park-hero.jpg,2,"Awash National Park & Alledeghi Plains hero",,,needed
dest-chebera-churchura-national-park-hero.jpg,2,"Chebera Churchura National Park hero",,,needed
dest-gambella-national-park-hero.jpg,2,"Gambella National Park hero",,,needed
dest-kafta-shiraro-national-park-hero.jpg,2,"Kafta Sheraro National Park hero",,,needed
dest-lalibela-card.jpg,2,"Lalibela card",,,needed
dest-simien-mountain-national-park-card.jpg,2,"Simien Mountains National Park card",,,needed
dest-danakil-depression-tour-packages-card.jpg,2,"Danakil Depression card",,,needed
dest-omo-valley-tribes-card.jpg,2,"Lower Omo Valley card",,,needed
dest-bale-mountains-national-park-card.jpg,2,"Bale Mountains National Park card",,,needed
dest-tigray-rock-hewn-churches-historical-sites-card.jpg,2,"Tigray & Gheralta card",,,needed
dest-gondar-card.jpg,2,"Gondar card",,,needed
dest-bahir-dar-lake-tana-card.jpg,2,"Bahir Dar & Lake Tana card",,,needed
dest-harar-card.jpg,2,"Harar Jugol card",,,needed
dest-addis-ababa-card.jpg,2,"Addis Ababa card",,,needed
dest-axum-card.jpg,2,"Aksum card",,,needed
dest-kafa-biosphere-coffee-forest-card.jpg,2,"Kafa Biosphere Reserve card",,,needed
dest-arba-minch-nechsar-card.jpg,2,"Arba Minch & Nech Sar National Park card",,,needed
dest-konso-card.jpg,2,"Konso Cultural Landscape card",,,needed
dest-awash-national-park-card.jpg,2,"Awash National Park & Alledeghi Plains card",,,needed
dest-chebera-churchura-national-park-card.jpg,2,"Chebera Churchura National Park card",,,needed
dest-gambella-national-park-card.jpg,2,"Gambella National Park card",,,needed
dest-kafta-shiraro-national-park-card.jpg,2,"Kafta Sheraro National Park card",,,needed
tour-classic-northern-ethiopia-10-days-hero.jpg,3,"Classic Northern Ethiopia hero",,,needed
tour-lalibela-gondar-tigray-14-days-hero.jpg,3,"Lalibela, Gondar and Tigray hero",,,needed
tour-ethiopia-complete-historic-18-days-hero.jpg,3,"Complete Historic Ethiopia hero",,,needed
tour-addis-ababa-lalibela-short-5-days-hero.jpg,3,"Addis Ababa and Lalibela hero",,,needed
tour-axum-tigray-specialist-8-days-hero.jpg,3,"Axum and Tigray Specialist hero",,,needed
tour-gondar-bahir-dar-lakes-6-days-hero.jpg,3,"Gondar, Bahir Dar and Lake Tana hero",,,needed
tour-omo-valley-complete-10-days-hero.jpg,3,"Omo Valley Complete hero",,,needed
tour-omo-valley-short-6-days-hero.jpg,3,"Omo Valley Introduction hero",,,needed
tour-south-ethiopia-culture-8-days-hero.jpg,3,"South Ethiopia Culture hero",,,needed
tour-omo-valley-konso-deep-12-days-hero.jpg,3,"Omo Valley and Konso Deep Immersion hero",,,needed
tour-hamar-bull-jumping-9-days-hero.jpg,3,"Hamar Bull-Jumping Journey hero",,,needed
tour-southern-tribes-photography-11-days-hero.jpg,3,"Southern Tribes Photography hero",,,needed
tour-bale-simien-wolf-gelada-12-days-hero.jpg,3,"Wolf and Gelada: Bale and Simien hero",,,needed
tour-bale-mountains-wildlife-5-days-hero.jpg,3,"Bale Mountains Wildlife Focus hero",,,needed
tour-simien-trekking-wildlife-8-days-hero.jpg,3,"Simien Trekking and Wildlife hero",,,needed
tour-endemic-mammals-circuit-15-days-hero.jpg,3,"Endemic Mammals Grand Circuit hero",,,needed
tour-ethiopia-birding-specialist-14-days-hero.jpg,3,"Ethiopia Birding Specialist hero",,,needed
tour-rift-valley-lakes-birding-7-days-hero.jpg,3,"Rift Valley Lakes and Birding hero",,,needed
tour-danakil-north-circuit-9-days-hero.jpg,3,"Danakil and North Circuit hero",,,needed
tour-simien-mountains-trekking-7-days-hero.jpg,3,"Simien Mountains Trek hero",,,needed
tour-mobile-camp-expedition-12-days-hero.jpg,3,"Mobile Camp Expedition hero",,,needed
tour-erta-ale-volcano-4-days-hero.jpg,3,"Erta Ale Volcano Express hero",,,needed
tour-danakil-omo-extreme-16-days-hero.jpg,3,"Danakil and Omo Extremes hero",,,needed
tour-bale-trekking-adventure-8-days-hero.jpg,3,"Bale Mountains Trek and Highlands hero",,,needed
